x,y
14.00714968665369, 57.39942059852179
13.773181448243093, 57.55788939397892
13.733297466894882, 58.10719452840018
13.65459663413418, 58.57833239502859
13.42022822199769, 58.97210334131599
12.991375379072878, 59.210340099469555
12.367704627254895, 59.489127795181155
11.899701454812686, 59.84528241123379
11.120296427997886, 60.08592021174274
10.575393204561578, 59.85435301568756
10.498493153567438, 59.26663120357974
10.538910699883516, 58.40358986805145
10.773679285745928, 57.77451677093378
11.202865606775646, 57.34019488708834
11.943520477798955, 56.98217279364817
12.606408254755323, 56.54625021489911
13.463647071258023, 56.344295874560636
14.12606797886751, 56.18289247178024
14.203301507966586, 56.57452915819618
14.475486337200792, 56.84718085677728
14.357768566164694, 57.35780253102801
14.708654228159617, 57.15931636298071
14.47368555543423, 57.90604053551352
14.630020091019901, 57.59123720447075
14.667636421254656, 58.375310924754395
14.86278780825279, 58.13867486150445
15.213139905279846, 58.253924894564186
15.446574578722576, 58.40919230021408
15.56295843733902, 58.68291112873093
15.250556148651683, 59.15564969026297
14.861253808970162, 59.040666439687165
14.705986403320267, 58.72799736851588
10.499160109777279, 58.87446095219595
11.631651754079456, 57.141175154073146
14.202567856135758, 57.00591643471834
15.2153408607723, 56.95976306499767
15.526475932660972, 57.23214798109483
15.876361160341148, 57.62191719012322
16.304213568951184, 57.971935809045355
16.53724806866802, 58.36250536552553
16.653298449179545, 58.832309319734286
17.042467397619063, 59.02572662058683
17.08201790086237, 58.67250661185748
16.848649923040625, 58.4780221810692
15.602909114308218, 58.09438896917131
15.953594689440195, 58.01355387653914
16.577265441258206, 57.73476618082753
17.044668353111533, 57.73156479102031
17.04533530932136, 57.33939453963652
17.046068961152187, 56.90800726311435
17.55242211565998, 56.9045390908232
17.280037199562813, 56.74953846765724
16.77368404505502, 56.75300663994839
16.15061355382585, 56.67884110941457
16.540115980370317, 56.67617328457522
15.878228637728682, 56.52384048624861
15.488859602426217, 56.448074260811175
15.333258718671374, 56.331490315331784
15.09955726274471, 56.333091010235385
14.710121531821258, 56.296541809936365
14.515370318549031, 56.29787572235603
14.826105216711795, 56.80556278928348
14.514903449202151, 56.572394898324696
13.775249012493589, 56.342161614689154
13.112961496126061, 56.42513096719282
12.450273806032612, 56.74340247052674
12.21643895886399, 56.823437215707095
12.879059953336437, 56.54438273751156
11.509932245784313, 60.00481833662665
11.70468345905654, 60.00348442420697
12.13380308446527, 59.608379565499895
12.640423021456968, 59.448043292655235
10.769877635349857, 60.0098872038214
10.49795958859957, 59.58036740468679
10.578661289989768, 57.93271878390697
10.968964063986022, 57.45944665740708
14.39525150515749, 58.22031030158842
14.433668182844059, 58.53377972021152
14.82437113056622, 57.825205442881334
14.279401211508912, 57.63285527196454
15.798927544379126, 57.34793157912244
15.993411975167433, 57.50346576725628
15.523341238474742, 59.075348162598665
16.730598673899593, 59.18472898101184
